addr,obesity_1,obesity_2
서울특별시 강남구,24.8,26.3
서울특별시 강동구,31.3,32
서울특별시 강북구,30.3,31.2
서울특별시 강서구,29.9,31.2
서울특별시 관악구,26.6,25.5
서울특별시 광진구,24.6,24.5
서울특별시 구로구,29,28.7
서울특별시 금천구,29.9,29.6
서울특별시 노원구,30.9,31.7
서울특별시 도봉구,33.5,36
서울특별시 동대문구,30.8,30.5
서울특별시 동작구,29.1,28.9
서울특별시 마포구,27.2,27.7
서울특별시 서대문구,26.5,27.2
서울특별시 서초구,24,24.7
서울특별시 성동구,28.6,28.7
서울특별시 성북구,27.5,27
서울특별시 송파구,26.5,26.7
서울특별시 양천구,28.6,28.9
서울특별시 영등포구,27.7,28
서울특별시 용산구,25.4,24.6
서울특별시 은평구,27.9,27.7
서울특별시 종로구,28.1,28.9
서울특별시 중구,25.6,25.4
서울특별시 중랑구,31.4,31.8
부산광역시 강서구,31.5,30.5
부산광역시 금정구,27.3,27.7
부산광역시 기장군,31.4,31.9
부산광역시 남구,30.9,32.6
부산광역시 동구,31.4,32.5
부산광역시 동래구,26.9,28.7
부산광역시 부산진구,26.6,28.1
부산광역시 북구,29.2,30.2
부산광역시 사상구,33.4,35
부산광역시 사하구,29.6,30.8
부산광역시 서구,26.8,26.4
부산광역시 수영구,28.8,30.6
부산광역시 연제구,26.8,27.5
부산광역시 영도구,30.6,31.8
부산광역시 중구,31.5,33.3
부산광역시 해운대구,27.1,28.8
대구광역시 남구,29.8,33.6
대구광역시 달서구,29.4,30.2
대구광역시 달성군,31.6,32
대구광역시 동구,28.8,29.2
대구광역시 북구,31.2,31.4
대구광역시 서구,30.2,30.6
대구광역시 수성구,22.6,25.1
대구광역시 중구,26.9,27.6
인천광역시 강화군,34.9,40.2
인천광역시 계양구,32.4,32.9
인천광역시 미추홀구,31,31.3
인천광역시 남동구,36,36.7
인천광역시 동구,38.8,39.1
인천광역시 부평구,32.9,33.6
인천광역시 서구,33.6,33.7
인천광역시 연수구,30.7,30.5
인천광역시 옹진군,41,40.3
인천광역시 중구,32.6,32.3
광주광역시 광산구,27.5,27.5
광주광역시 남구,27.3,27.3
광주광역시 동구,27.4,29.3
광주광역시 북구,31.6,31.6
광주광역시 서구,31.2,31.4
대전광역시 대덕구,30.2,30.4
대전광역시 동구,32.1,32.8
대전광역시 서구,20.5,20.1
대전광역시 유성구,28.5,28.7
대전광역시 중구,30,30.2
울산광역시 남구,31.7,32.2
울산광역시 동구,31,30.6
울산광역시 북구,33,32.9
울산광역시 울주군,29,29.9
울산광역시 중구,25.2,24.6
세종특별자치시 세종시,28.7,28
경기도 가평군,31.8,32.5
경기도 고양시,28.9,29.9
경기도 고양시,30.2,31.4
경기도 고양시,26.6,27.2
경기도 고양시,29.3,30.2
경기도 과천시,22.6,22.9
경기도 구리시,27.9,29.2
경기도 김포시,34.6,34.9
경기도 남양주시,33.4,33.5
경기도 남양주시,32.3,32.5
경기도 남양주시,35.5,35.3
경기도 동두천시,36.3,35.5
경기도 부천시,31.7,32.1
경기도 부천시,32.5,32
경기도 부천시,33,33.3
경기도 부천시,30.6,31.6
경기도 양주시,33.3,31.8
경기도 양평군,31.8,33.7
경기도 여주시,34.7,35.5
경기도 연천군,33.1,33.1
경기도 의정부시,34.8,35.2
경기도 이천시,35,34.7
경기도 파주시,30.7,30.6
경기도 포천시,37.5,39.2
경기도 하남시,31.9,30.9
경기도 광명시,30.6,29.3
경기도 광주시,28.2,27.3
경기도 군포시,28.5,28.1
경기도 성남시,27.4,27.3
경기도 성남시,26,26.6
경기도 성남시,28.8,28.6
경기도 성남시,28.7,28.2
경기도 수원시,31.5,31.6
경기도 수원시,34.1,33.8
경기도 수원시,27.7,27.7
경기도 수원시,35.7,35.7
경기도 수원시,27.4,27.2
경기도 시흥시,33.4,33.1
경기도 안산시,34.1,34.6
경기도 안산시,32.2,32.3
경기도 안산시,35.7,36.7
경기도 안성시,34,34.4
경기도 안양시,32.2,32.5
경기도 안양시,29.7,29.8
경기도 안양시,35.3,36
경기도 오산시,32.8,32.1
경기도 용인시,29.2,29.3
경기도 용인시,29.2,29.2
경기도 용인시,24.8,25.7
경기도 용인시,35.6,34.7
경기도 의왕시,30.7,30.9
경기도 평택시,33.2,32.8
경기도 평택시,34.8,34.7
경기도 평택시,32.4,31.7
경기도 화성시,34,33.5
강원도 강릉시,34.9,36.7
강원도 고성군,27.9,26.6
강원도 동해시,32.5,33
강원도 삼척시,34.7,36
강원도 속초시,29.7,29.2
강원도 양구군,34.4,33.5
강원도 양양군,34.7,33.4
강원도 영월군,31.2,30
강원도 원주시,28.7,28.5
강원도 인제군,36.3,35.6
강원도 정선군,34.7,34.9
강원도 철원군,38.5,40.9
강원도 춘천시,31.7,31.2
강원도 태백시,37.1,38.4
강원도 평창군,35,36.2
강원도 홍천군,36.1,37.4
강원도 화천군,36.8,37.6
강원도 횡성군,33.5,34.8
충청북도 괴산군,32,33.7
충청북도 단양군,35.4,37.4
충청북도 보은군,35.7,39.9
충청북도 영동군,29.7,31.4
충청북도 옥천군,31.4,34.2
충청북도 음성군,37.2,38.2
충청북도 제천시,29,28.8
충청북도 증평군,36.6,35.5
충청북도 진천군,34.5,34.4
충청북도 청주시,31.2,31.3
충청북도 청주시,31.6,32.6
충청북도 청주시,29.5,29.6
충청북도 청주시,31.8,31.6
충청북도 청주시,31.6,31.1
충청북도 충주시,33.6,35.1
충청남도 계룡시,31.1,31.2
충청남도 공주시,28.7,30
충청남도 금산군,26.8,30.4
충청남도 논산시,27.1,26
충청남도 당진시,37.6,37
충청남도 보령시,32,32.2
충청남도 부여군,28.1,29.2
충청남도 서산시,33.5,33.2
충청남도 서천군,33.8,43.5
충청남도 아산시,30.9,30.6
충청남도 예산군,32.9,34.2
충청남도 천안시,31.3,31
충청남도 청양군,30.7,33
충청남도 태안군,30.2,31.5
충청남도 홍성군,30.7,33.8
전라북도 고창군,31.2,32.8
전라북도 군산시,29.1,27.7
전라북도 김제시,28.7,28.3
전라북도 남원시,28.8,29.4
전라북도 무주군,30.5,29.4
전라북도 부안군,35.7,36
전라북도 순창군,31.3,34.3
전라북도 완주군,29.1,28.1
전라북도 익산시,29.5,30.2
전라북도 임실군,25.3,28.2
전라북도 장수군,28.4,32.1
전라북도 전주시,28.5,28.7
전라북도 정읍시,30.2,32.3
전라북도 진안군,31,33
전라남도 강진군,31,35.6
전라남도 고흥군,30.5,31.1
전라남도 곡성군,31.2,32.3
전라남도 광양시,31.5,32
전라남도 구례군,31.3,29.5
전라남도 나주시,30.7,32.4
전라남도 담양군,28.3,27.5
전라남도 목포시,34.6,34.8
전라남도 무안군,32.2,34.5
전라남도 보성군,27,30.8
전라남도 순천시,28.5,28.9
전라남도 신안군,27.9,25.8
전라남도 여수시,31.5,30.6
전라남도 영광군,31.2,33.9
전라남도 영암군,31.4,32.6
전라남도 완도군,28.4,31.8
전라남도 장성군,32.6,33.4
전라남도 장흥군,28.9,28.7
전라남도 진도군,28.2,32.1
전라남도 함평군,25.2,25.8
전라남도 해남군,31.3,30
전라남도 화순군,28.9,31.2
경상북도 경산시,29,30.1
경상북도 경주시,28.5,28.1
경상북도 고령군,30,32.6
경상북도 구미시,30.7,31.2
경상북도 구미시,30.1,30.6
경상북도 구미시,32.7,33
경상북도 군위군,26.5,31.3
경상북도 김천시,26.8,27.8
경상북도 문경시,26,27.1
경상북도 봉화군,27.4,33.1
경상북도 상주시,25.3,27.2
경상북도 성주군,31.7,36.1
경상북도 안동시,31.2,33.1
경상북도 영덕군,32.9,36.2
경상북도 영양군,28.2,28.9
경상북도 영주시,28.3,26.1
경상북도 영천시,29.7,33.4
경상북도 예천군,32.8,33.5
경상북도 울릉군,34.2,32.9
경상북도 울진군,30.8,31.2
경상북도 의성군,28.8,32.4
경상북도 청도군,27.9,31.3
경상북도 청송군,28.5,34.4
경상북도 칠곡군,32.4,32.4
경상북도 포항시,31.3,31.6
경상북도 포항시,31.1,30.6
경상북도 포항시,31.5,32.5
경상남도 거제시,31.5,30.9
경상남도 거창군,26.5,28.1
경상남도 고성군,28.2,28.5
경상남도 김해시,30.1,30.8
경상남도 남해군,27.1,32.7
경상남도 창원시,30,30.7
경상남도 창원시,29.1,30.6
경상남도 창원시,30.9,30.8
경상남도 창원시,30.3,30.9
경상남도 밀양시,28.9,30.7
경상남도 사천시,28.8,29.8
경상남도 산청군,26,31
경상남도 양산시,34.2,34.2
경상남도 의령군,27.4,30.5
경상남도 진주시,27.4,28.3
경상남도 창녕군,26.1,28.9
경상남도 통영시,30.9,30.8
경상남도 하동군,24.8,28.9
경상남도 함안군,26.8,28.1
경상남도 함양군,27.4,30.3
경상남도 합천군,30,33.9
제주특별자치도 서귀포시,36.5,36.7
제주특별자치도 서귀포시,34.1,34.8
제주특별자치도 서귀포시,40.5,39.6
제주특별자치도 서귀포시,38.6,38.9
제주특별자치도 제주시,34.2,34.4
제주특별자치도 제주시,34.3,34.5
제주특별자치도 제주시,34.4,34.3
제주특별자치도 제주시,33.6,35.5
