addr,total_income
서울 강남구,7120
서울 강동구,4051
서울 강북구,2928
서울 강서구,3739
서울 관악구,3157
서울 광진구,3773
서울 구로구,3476
서울 금천구,3006
서울 노원구,3768
서울 도봉구,3197
서울 동대문구,3482
서울 동작구,4080
서울 마포구,4673
서울 서대문구,4114
서울 서초구,7118
서울 성동구,4616
서울 성북구,3935
서울 송파구,5059
서울 양천구,4577
서울 영등포구,4328
서울 용산구,6270
서울 은평구,3449
서울 종로구,4870
서울 중구,4620
서울 중랑구,3032
인천 강화군,3144
인천 계양구,2986
인천 미추홀구,2898
인천 남동구,3260
인천 동구,2993
인천 부평구,3174
인천 서구,3425
인천 연수구,4442
인천 옹진군,3775
인천 중구,3446
경기 가평군,3157
경기 고양시,3888
경기 과천시,5764
경기 광명시,3774
경기 광주시,3155
경기 구리시,3501
경기 군포시,3727
경기 김포시,3590
경기 남양주시,3328
경기 동두천시,2785
경기 부천시,3272
경기 성남시,4795
경기 수원시,4153
경기 시흥시,3211
경기 안산시,3202
경기 안성시,3201
경기 안양시,3977
경기 양주시,2929
경기 양평군,3587
경기 여주시,3116
경기 연천군,3103
경기 오산시,3464
경기 용인시,4556
경기 의왕시,4086
경기 의정부시,3027
경기 이천시,4092
경기 파주시,3445
경기 평택시,3617
경기 포천시,2775
경기 하남시,3856
경기 화성시,4317
강원 강릉시,3303
강원 고성군,3119
강원 동해시,3625
강원 삼척시,3527
강원 속초시,3158
강원 양구군,3565
강원 양양군,3179
강원 영월군,3480
강원 원주시,3453
강원 인제군,3526
강원 정선군,3309
강원 철원군,3389
강원 춘천시,3494
강원 태백시,3634
강원 평창군,3016
강원 홍천군,3157
강원 화천군,3416
강원 횡성군,2998
대전 대덕구,3132
대전 동구,2960
대전 서구,3616
대전 유성구,4594
대전 중구,3263
충북 괴산군,2982
충북 단양군,3111
충북 보은군,2922
충북 영동군,3099
충북 옥천군,3022
충북 음성군,3074
충북 제천시,3307
충북 증평군,3282
충북 진천군,3275
충북 청주시,3813
충북 충주시,3323
충남 계룡시,4527
충남 공주시,3196
충남 금산군,3028
충남 논산시,3041
충남 당진시,3764
충남 보령시,3257
충남 부여군,2935
충남 서산시,4102
충남 서천군,3248
충남 아산시,3894
충남 예산군,3041
충남 천안시,3777
충남 청양군,3090
충남 태안군,3284
충남 홍성군,3354
세종,4422
광주 광산구,3479
광주 남구,3710
광주 동구,3637
광주 북구,3332
광주 서구,3730
전북 고창군,3149
전북 군산시,3427
전북 김제시,2844
전북 남원시,2981
전북 무주군,2977
전북 부안군,2911
전북 순창군,3136
전북 완주군,3343
전북 익산시,3198
전북 임실군,3101
전북 장수군,3002
전북 전주시,3610
전북 정읍시,3057
전북 진안군,3083
전남 강진군,3140
전남 고흥군,2947
전남 곡성군,3286
전남 광양시,4151
전남 구례군,2983
전남 나주시,3352
전남 담양군,3162
전남 목포시,3146
전남 무안군,3610
전남 보성군,3017
전남 순천시,3802
전남 신안군,3263
전남 여수시,4038
전남 영광군,3451
전남 영암군,2937
전남 완도군,3115
전남 장성군,3275
전남 장흥군,3199
전남 진도군,3117
전남 함평군,3099
전남 해남군,2947
전남 화순군,2999
대구 남구,2823
대구 달서구,3461
대구 달성군,3322
대구 동구,3235
대구 북구,3201
대구 서구,2598
대구 수성구,4632
대구 중구,3480
경북 경산시,3100
경북 경주시,3555
경북 고령군,2932
경북 구미시,3804
경북 군위군,3176
경북 김천시,3529
경북 문경시,3045
경북 봉화군,3152
경북 상주시,3098
경북 성주군,2784
경북 안동시,3377
경북 영덕군,2886
경북 영양군,3175
경북 영주시,3409
경북 영천시,3088
경북 예천군,3570
경북 울릉군,3803
경북 울진군,3794
경북 의성군,2805
경북 청도군,3060
경북 청송군,2879
경북 칠곡군,3252
경북 포항시,4004
부산 강서구,3805
부산 금정구,3640
부산 기장군,3460
부산 남구,3759
부산 동구,2864
부산 동래구,3739
부산 부산진구,3231
부산 북구,3333
부산 사상구,2902
부산 사하구,3074
부산 서구,3242
부산 수영구,3497
부산 연제구,3632
부산 영도구,2949
부산 중구,2540
부산 해운대구,4345
울산 남구,4617
울산 동구,4069
울산 북구,4649
울산 울주군,3986
울산 중구,4331
경남 거제시,3805
경남 거창군,3261
경남 고성군,2942
경남 김해시,3422
경남 남해군,3033
경남 밀양시,3081
경남 사천시,3615
경남 산청군,3076
경남 양산시,3348
경남 의령군,3114
경남 진주시,3711
경남 창녕군,3071
경남 창원시,3825
경남 통영시,3015
경남 하동군,3150
경남 함안군,3185
경남 함양군,3088
경남 합천군,3152
제주 제주시,3257
제주 서귀포시,3140
