,addr,brushing_t
0,서울강남,71.8
1,서울강동,70.2
2,서울강북,69.4
3,서울강서,75.4
4,서울관악,75.9
5,서울광진,77.0
6,서울구로,76.5
7,서울금천,67.9
8,서울노원,77.0
9,서울도봉,74.1
10,서울동대문,67.9
11,서울동작,78.4
12,서울마포,67.7
13,서울서대문,78.1
14,서울서초,76.5
15,서울성동,76.2
16,서울성북,70.9
17,서울송파,80.7
18,서울양천,77.8
19,서울영등포,75.6
20,서울용산,71.0
21,서울은평,74.5
22,서울종로,70.2
23,서울중구,85.5
24,서울중랑,68.3
25,부산강서,72.2
26,부산금정,78.7
27,부산기장,79.7
28,부산남구,70.0
29,부산동구,75.9
30,부산동래,70.9
31,부산부산진,71.7
32,부산북구,71.2
33,부산사상,68.1
34,부산사하,73.3
35,부산서구,77.0
36,부산수영,73.9
37,부산연제,77.2
38,부산영도,72.2
39,부산중구,67.9
40,부산해운대,73.1
41,대구남구,61.6
42,대구달서,78.8
43,대구달성,76.2
44,대구동구,65.8
45,대구북구,69.7
46,대구서구,72.4
47,대구수성,77.4
48,대구중구,77.5
49,인천강화,71.2
50,인천계양,72.7
51,인천남구,62.1
52,인천남동,70.4
53,인천동구,67.3
54,인천부평,67.0
55,인천서구,67.3
56,인천연수,73.0
57,인천옹진,72.9
58,인천중구,70.1
59,광주광산,71.0
60,광주남구,75.5
61,광주동구,80.7
62,광주북구,79.9
63,광주서구,72.0
64,대전대덕,82.3
65,대전동구,77.7
66,대전서구,70.9
67,대전유성,84.3
68,대전중구,72.8
69,울산남구,79.2
70,울산동구,77.8
71,울산북구,74.6
72,울산울주,63.4
73,울산중구,78.9
74,세종,79.7
75,가평,68.5
76,고양,73.0
77,과천,77.3
78,구리,76.8
79,김포,74.4
80,남양주,68.1
81,동두천,67.3
82,부천,70.2
83,양주,70.4
84,양평,63.4
85,여주,69.6
86,연천,56.2
87,의정부,73.7
88,이천,69.3
89,파주,76.1
90,포천,71.4
91,하남,67.7
92,광명,81.3
93,광주,55.4
94,군포,70.3
95,성남,71.7
96,수원,74.1
97,시흥,64.6
98,안산,70.3
99,안성,68.5
100,안양,76.2
101,오산,72.4
102,용인,70.3
103,의왕,75.8
104,평택,67.7
105,화성,75.4
106,강릉,72.4
107,고성(강원),57.4
108,동해,68.4
109,삼척,71.5
110,속초,73.3
111,양구,79.7
112,양양,57.3
113,영월,68.5
114,원주,72.7
115,인제,70.8
116,정선,60.1
117,철원,68.3
118,춘천,75.2
119,태백,71.5
120,평창,63.2
121,홍천,68.8
122,화천,68.0
123,횡성,67.0
124,괴산,69.3
125,단양,77.8
126,보은,64.7
127,영동,81.0
128,옥천,70.8
129,음성,73.6
130,제천,74.5
131,증평,62.0
132,진천,67.7
133,청주,78.1
134,충주,75.8
135,계룡,78.7
136,공주,76.4
137,금산,75.4
138,논산,77.5
139,당진,68.9
140,보령,77.6
141,부여,69.7
142,서산,66.5
143,서천,72.2
144,아산,82.9
145,예산,63.9
146,천안,74.0
147,청양,72.4
148,태안,68.0
149,홍성,74.1
150,고창,76.1
151,군산,79.1
152,김제,71.5
153,남원,73.8
154,무주,66.9
155,부안,71.7
156,순창,70.6
157,완주,61.7
158,익산,79.5
159,임실,58.8
160,장수,64.5
161,전주,75.3
162,정읍,68.2
163,진안,66.0
164,강진,66.5
165,고흥,64.2
166,곡성,72.7
167,광양,80.1
168,구례,78.7
169,나주,69.2
170,담양,66.3
171,목포,71.2
172,무안,73.2
173,보성,81.1
174,순천,84.4
175,신안,71.6
176,여수,70.2
177,영광,68.8
178,영암,66.2
179,완도,61.9
180,장성,72.6
181,장흥,70.1
182,진도,73.7
183,함평,54.3
184,해남,67.0
185,화순,74.5
186,경산,67.9
187,경주,74.0
188,고령,60.3
189,구미,73.9
190,군위,69.0
191,김천,65.6
192,문경,69.6
193,봉화,71.0
194,상주,70.8
195,성주,66.0
196,안동,74.4
197,영덕,69.1
198,영양,58.5
199,영주,73.8
200,영천,65.8
201,예천,74.9
202,울릉,85.8
203,울진,80.4
204,의성,69.6
205,청도,65.6
206,청송,66.2
207,칠곡,77.8
208,포항,71.2
209,거제,79.1
210,거창,67.6
211,고성(경남),68.8
212,김해,76.3
213,남해,68.7
214,창원,74.5
215,밀양,79.9
216,사천,69.3
217,산청,67.7
218,양산,71.8
219,의령,67.4
220,진주,73.8
221,창녕,79.0
222,통영,88.5
223,하동,74.1
224,함안,75.4
225,함양,71.1
226,합천,64.9
227,서귀포,64.8
228,제주,66.7
