,addr,total_income
0,서울강남,7120
1,서울강동,4051
2,서울강북,2928
3,서울강서,3739
4,서울관악,3157
5,서울광진,3773
6,서울구로,3476
7,서울금천,3006
8,서울노원,3768
9,서울도봉,3197
10,서울동대문,3482
11,서울동작,4080
12,서울마포,4673
13,서울서대문,4114
14,서울서초,7118
15,서울성동,4616
16,서울성북,3935
17,서울송파,5059
18,서울양천,4577
19,서울영등포,4328
20,서울용산,6270
21,서울은평,3449
22,서울종로,4870
23,서울중구,4620
24,서울중랑,3032
25,인천강화,3144
26,인천계양,2986
27,인천남구,2898
28,인천남동,3260
29,인천동구,2993
30,인천부평,3174
31,인천서구,3425
32,인천연수,4442
33,인천옹진,3775
34,인천중구,3446
35,가평,3157
36,고양,3888
37,과천,5764
38,광명,3774
39,광주,3155
40,구리,3501
41,군포,3727
42,김포,3590
43,남양주,3328
44,동두천,2785
45,부천,3272
46,성남,4795
47,수원,4153
48,시흥,3211
49,안산,3202
50,안성,3201
51,안양,3977
52,양주,2929
53,양평,3587
54,여주,3116
55,연천,3103
56,오산,3464
57,용인,4556
58,의왕,4086
59,의정부,3027
60,이천,4092
61,파주,3445
62,평택,3617
63,포천,2775
64,하남,3856
65,화성,4317
66,강릉,3303
67,고성(강원),3119
68,동해,3625
69,삼척,3527
70,속초,3158
71,양구,3565
72,양양,3179
73,영월,3480
74,원주,3453
75,인제,3526
76,정선,3309
77,철원,3389
78,춘천,3494
79,태백,3634
80,평창,3016
81,홍천,3157
82,화천,3416
83,횡성,2998
84,대전대덕,3132
85,대전동구,2960
86,대전서구,3616
87,대전유성,4594
88,대전중구,3263
89,괴산,2982
90,단양,3111
91,보은,2922
92,영동,3099
93,옥천,3022
94,음성,3074
95,제천,3307
96,증평,3282
97,진천,3275
98,청주,3813
99,충주,3323
100,계룡,4527
101,공주,3196
102,금산,3028
103,논산,3041
104,당진,3764
105,보령,3257
106,부여,2935
107,서산,4102
108,서천,3248
109,아산,3894
110,예산,3041
111,천안,3777
112,청양,3090
113,태안,3284
114,홍성,3354
115,세종,4422
116,광주광산,3479
117,광주남구,3710
118,광주동구,3637
119,광주북구,3332
120,광주서구,3730
121,고창,3149
122,군산,3427
123,김제,2844
124,남원,2981
125,무주,2977
126,부안,2911
127,순창,3136
128,완주,3343
129,익산,3198
130,임실,3101
131,장수,3002
132,전주,3610
133,정읍,3057
134,진안,3083
135,강진,3140
136,고흥,2947
137,곡성,3286
138,광양,4151
139,구례,2983
140,나주,3352
141,담양,3162
142,목포,3146
143,무안,3610
144,보성,3017
145,순천,3802
146,신안,3263
147,여수,4038
148,영광,3451
149,영암,2937
150,완도,3115
151,장성,3275
152,장흥,3199
153,진도,3117
154,함평,3099
155,해남,2947
156,화순,2999
157,대구남구,2823
158,대구달서,3461
159,대구달성,3322
160,대구동구,3235
161,대구북구,3201
162,대구서구,2598
163,대구수성,4632
164,대구중구,3480
165,경산,3100
166,경주,3555
167,고령,2932
168,구미,3804
169,군위,3176
170,김천,3529
171,문경,3045
172,봉화,3152
173,상주,3098
174,성주,2784
175,안동,3377
176,영덕,2886
177,영양,3175
178,영주,3409
179,영천,3088
180,예천,3570
181,울릉,3803
182,울진,3794
183,의성,2805
184,청도,3060
185,청송,2879
186,칠곡,3252
187,포항,4004
188,부산강서,3805
189,부산금정,3640
190,부산기장,3460
191,부산남구,3759
192,부산동구,2864
193,부산동래,3739
194,부산부산진,3231
195,부산북구,3333
196,부산사상,2902
197,부산사하,3074
198,부산서구,3242
199,부산수영,3497
200,부산연제,3632
201,부산영도,2949
202,부산중구,2540
203,부산해운대,4345
204,울산남구,4617
205,울산동구,4069
206,울산북구,4649
207,울산울주,3986
208,울산중구,4331
209,거제,3805
210,거창,3261
211,고성(경남),2942
212,김해,3422
213,남해,3033
214,밀양,3081
215,사천,3615
216,산청,3076
217,양산,3348
218,의령,3114
219,진주,3711
220,창녕,3071
221,창원,3825
222,통영,3015
223,하동,3150
224,함안,3185
225,함양,3088
226,합천,3152
227,제주,3257
228,서귀포,3140
