,addr,single_person
0,서울종로,25983
1,서울중구,22818
2,서울용산,36881
3,서울성동,42585
4,서울광진,62301
5,서울동대문,60924
6,서울중랑,56604
7,서울성북,61511
8,서울강북,45686
9,서울도봉,34875
10,서울노원,56438
11,서울은평,57852
12,서울서대문,49863
13,서울마포,63171
14,서울양천,30435
15,서울강서,86172
16,서울구로,50970
17,서울금천,30335
18,서울영등포,64001
19,서울동작,64101
20,서울관악,129233
21,서울서초,43941
22,서울강남,68999
23,서울송파,73695
24,서울강동,50316
25,부산중구,10007
26,부산서구,18384
27,부산동구,15507
28,부산영도,19073
29,부산부산진,58923
30,부산동래,29007
31,부산남구,34934
32,부산북구,31397
33,부산해운대,44867
34,부산사하,39816
35,부산금정,36779
36,부산강서,13410
37,부산연제,26078
38,부산수영,27696
39,부산사상,30921
40,부산기장,18402
41,대구중구,14802
42,대구동구,45207
43,대구서구,25770
44,대구남구,29916
45,대구북구,55311
46,대구수성,40196
47,대구달서,67770
48,대구달성,25569
49,인천중구,23100
50,인천동구,7335
51,인천연수,34745
52,인천남동,59396
53,인천부평,53636
54,인천계양,29622
55,인천서구,48798
56,인천남구,56472
57,인천강화,8094
58,광주동구,18969
59,광주서구,41730
60,광주남구,25905
61,광주북구,59846
62,광주광산,47496
63,대전동구,41663
64,대전중구,32142
65,대전서구,71702
66,대전유성,59211
67,대전대덕,24122
68,울산중구,24362
69,울산남구,40202
70,울산동구,16857
71,울산북구,16925
72,울산울주,24501
73,세종,43577
74,수원,36642
75,성남,38477
76,의정부,50007
77,안양,24266
78,부천,85104
79,광명,26496
80,평택,69593
81,동두천,12035
82,안산,30264
83,고양,33468
84,과천,3744
85,구리,18153
86,남양주,53418
87,오산,29691
88,시흥,55926
89,군포,25986
90,의왕,12876
91,하남,33759
92,용인,37814
93,파주,43803
94,이천,24332
95,안성,26019
96,김포,41283
97,화성,91164
98,광주,47997
99,양주,22433
100,포천,19088
101,여주,13287
102,연천,6200
103,가평,8996
104,양평,14949
105,춘천,39825
106,원주,51939
107,강릉,37635
108,동해,11496
109,태백,6420
110,속초,12122
111,삼척,12516
112,홍천,9875
113,횡성,6383
114,영월,6504
115,평창,6792
116,정선,6186
117,철원,4799
118,화천,3381
119,양구,2531
120,인제,4056
121,고성(강원),4413
122,양양,4494
123,충주,33557
124,제천,17205
125,청주,29217
126,보은,5081
127,옥천,6141
128,영동,7674
129,진천,4799
130,괴산,7554
131,음성,15528
132,단양,4650
133,증평,5589
134,천안,97287
135,동남,40653
136,서북,56633
137,공주,16886
138,보령,13745
139,아산,42747
140,서산,23003
141,논산,17565
142,계룡,3218
143,당진,23570
144,금산,8783
145,부여,9597
146,서천,7845
147,청양,4709
148,홍성,14810
149,예산,11064
150,태안,10139
151,전주,59358
152,군산,37319
153,익산,41274
154,정읍,15563
155,남원,11403
156,김제,11679
157,완주,13398
158,진안,3735
159,무주,4011
160,장수,3231
161,임실,4800
162,순창,3938
163,고창,8325
164,부안,7815
165,목포,31836
166,여수,34071
167,순천,31947
168,나주,17978
169,광양,16275
170,담양,5643
171,곡성,5277
172,구례,4194
173,고흥,11805
174,보성,7007
175,화순,8555
176,장흥,6305
177,강진,5856
178,해남,10325
179,영암,9120
180,무안,12936
181,함평,5550
182,영광,7634
183,장성,5406
184,완도,7482
185,진도,5205
186,신안,6585
187,포항,43218
188,경주,39638
189,김천,19857
190,안동,26475
191,구미,54929
192,영주,15683
193,영천,16400
194,상주,16128
195,문경,10701
196,경산,41805
197,군위,4110
198,의성,9344
199,청송,4851
200,영양,2889
201,영덕,6813
202,청도,6942
203,고령,4686
204,성주,6321
205,칠곡,15218
206,예천,8280
207,봉화,5082
208,울진,6813
209,울릉,1856
210,진주,49332
211,통영,17445
212,사천,15603
213,김해,56046
214,밀양,16644
215,거제,27960
216,양산,39894
217,창원,39720
218,의령,5124
219,함안,8846
220,창녕,9792
221,고성(경남),7869
222,남해,7368
223,하동,7071
224,산청,6461
225,함양,6678
226,거창,8783
227,합천,8079
228,제주,59037
229,서귀포,22817
