addr,brushing_t
서울특별시 강남구,71.8
서울특별시 강동구,70.2
서울특별시 강북구,69.4
서울특별시 강서구,75.4
서울특별시 관악구,75.9
서울특별시 광진구,77.0
서울특별시 구로구,76.5
서울특별시 금천구,67.9
서울특별시 노원구,77.0
서울특별시 도봉구,74.1
서울특별시 동대문구,67.9
서울특별시 동작구,78.4
서울특별시 마포구,67.7
서울특별시 서대문구,78.1
서울특별시 서초구,76.5
서울특별시 성동구,76.2
서울특별시 성북구,70.9
서울특별시 송파구,80.7
서울특별시 양천구,77.8
서울특별시 영등포구,75.6
서울특별시 용산구,71.0
서울특별시 은평구,74.5
서울특별시 종로구,70.2
서울특별시 중구,85.5
서울특별시 중랑구,68.3
부산광역시 강서구,72.2
부산광역시 금정구,78.7
부산광역시 기장군,79.7
부산광역시 남구,70.0
부산광역시 동구,75.9
부산광역시 동래구,70.9
부산광역시 부산진구,71.7
부산광역시 북구,71.2
부산광역시 사상구,68.1
부산광역시 사하구,73.3
부산광역시 서구,77.0
부산광역시 수영구,73.9
부산광역시 연제구,77.2
부산광역시 영도구,72.2
부산광역시 중구,67.9
부산광역시 해운대구,73.1
대구광역시 남구,61.6
대구광역시 달서구,78.8
대구광역시 달성군,76.2
대구광역시 동구,65.8
대구광역시 북구,69.7
대구광역시 서구,72.4
대구광역시 수성구,77.4
대구광역시 중구,77.5
인천광역시 강화군,71.2
인천광역시 계양구,72.7
인천광역시 미추홀구,62.1
인천광역시 남동구,70.4
인천광역시 동구,67.3
인천광역시 부평구,67.0
인천광역시 서구,67.3
인천광역시 연수구,73.0
인천광역시 옹진군,72.9
인천광역시 중구,70.1
광주광역시 광산구,71.0
광주광역시 남구,75.5
광주광역시 동구,80.7
광주광역시 북구,79.9
광주광역시 서구,72.0
대전광역시 대덕구,82.3
대전광역시 동구,77.7
대전광역시 서구,70.9
대전광역시 유성구,84.3
대전광역시 중구,72.8
울산광역시 남구,79.2
울산광역시 동구,77.8
울산광역시 북구,74.6
울산광역시 울주군,63.4
울산광역시 중구,78.9
세종특별자치시 nan,79.7
경기도 가평군,68.5
경기도 고양시,73.0
경기도 과천시,77.3
경기도 구리시,76.8
경기도 김포시,74.4
경기도 남양주시,68.1
경기도 동두천시,67.3
경기도 부천시,70.2
경기도 양주시,70.4
경기도 양평군,63.4
경기도 여주시,69.6
경기도 연천군,56.2
경기도 의정부시,73.7
경기도 이천시,69.3
경기도 파주시,76.1
경기도 포천시,71.4
경기도 하남시,67.7
경기도 광명시,81.3
경기도 광주시,55.4
경기도 군포시,70.3
경기도 성남시,71.7
경기도 수원시,74.1
경기도 시흥시,64.6
경기도 안산시,70.3
경기도 안성시,68.5
경기도 안양시,76.2
경기도 오산시,72.4
경기도 용인시,70.3
경기도 의왕시,75.8
경기도 평택시,67.7
경기도 화성시,75.4
강원도 강릉시,72.4
강원도 고성군,57.4
강원도 동해시,68.4
강원도 삼척시,71.5
강원도 속초시,73.3
강원도 양구군,79.7
강원도 양양군,57.3
강원도 영월군,68.5
강원도 원주시,72.7
강원도 인제군,70.8
강원도 정선군,60.1
강원도 철원군,68.3
강원도 춘천시,75.2
강원도 태백시,71.5
강원도 평창군,63.2
강원도 홍천군,68.8
강원도 화천군,68.0
강원도 횡성군,67.0
충청북도 괴산군,69.3
충청북도 단양군,77.8
충청북도 보은군,64.7
충청북도 영동군,81.0
충청북도 옥천군,70.8
충청북도 음성군,73.6
충청북도 제천시,74.5
충청북도 증평군,62.0
충청북도 진천군,67.7
충청북도 청주시,78.1
충청북도 충주시,75.8
충청남도 계룡시,78.7
충청남도 공주시,76.4
충청남도 금산군,75.4
충청남도 논산시,77.5
충청남도 당진시,68.9
충청남도 보령시,77.6
충청남도 부여군,69.7
충청남도 서산시,66.5
충청남도 서천군,72.2
충청남도 아산시,82.9
충청남도 예산군,63.9
충청남도 천안시,74.0
충청남도 청양군,72.4
충청남도 태안군,68.0
충청남도 홍성군,74.1
전라북도 고창군,76.1
전라북도 군산시,79.1
전라북도 김제시,71.5
전라북도 남원시,73.8
전라북도 무주군,66.9
전라북도 부안군,71.7
전라북도 순창군,70.6
전라북도 완주군,61.7
전라북도 익산시,79.5
전라북도 임실군,58.8
전라북도 장수군,64.5
전라북도 전주시,75.3
전라북도 정읍시,68.2
전라북도 진안군,66.0
전라남도 강진군,66.5
전라남도 고흥군,64.2
전라남도 곡성군,72.7
전라남도 광양시,80.1
전라남도 구례군,78.7
전라남도 나주시,69.2
전라남도 담양군,66.3
전라남도 목포시,71.2
전라남도 무안군,73.2
전라남도 보성군,81.1
전라남도 순천시,84.4
전라남도 신안군,71.6
전라남도 여수시,70.2
전라남도 영광군,68.8
전라남도 영암군,66.2
전라남도 완도군,61.9
전라남도 장성군,72.6
전라남도 장흥군,70.1
전라남도 진도군,73.7
전라남도 함평군,54.3
전라남도 해남군,67.0
전라남도 화순군,74.5
경상북도 경산시,67.9
경상북도 경주시,74.0
경상북도 고령군,60.3
경상북도 구미시,73.9
경상북도 군위군,69.0
경상북도 김천시,65.6
경상북도 문경시,69.6
경상북도 봉화군,71.0
경상북도 상주시,70.8
경상북도 성주군,66.0
경상북도 안동시,74.4
경상북도 영덕군,69.1
경상북도 영양군,58.5
경상북도 영주시,73.8
경상북도 영천시,65.8
경상북도 예천군,74.9
경상북도 울릉군,85.8
경상북도 울진군,80.4
경상북도 의성군,69.6
경상북도 청도군,65.6
경상북도 청송군,66.2
경상북도 칠곡군,77.8
경상북도 포항시,71.2
경상남도 거제시,79.1
경상남도 거창군,67.6
경상남도 고성군,68.8
경상남도 김해시,76.3
경상남도 남해군,68.7
경상남도 창원시,74.5
경상남도 밀양시,79.9
경상남도 사천시,69.3
경상남도 산청군,67.7
경상남도 양산시,71.8
경상남도 의령군,67.4
경상남도 진주시,73.8
경상남도 창녕군,79.0
경상남도 통영시,88.5
경상남도 하동군,74.1
경상남도 함안군,75.4
경상남도 함양군,71.1
경상남도 합천군,64.9
제주특별자치도 서귀포시,64.8
제주특별자치도 제주시,66.7
